image_path,class_label,attributes,caption,split,instance_id
Team12_DL_Milestone1_Drive/Project/Data/images/bathroom/bucket/Bathroom_Bucket_001.jpg,bathroom_bucket,shape:cylindrical;colour:blue;material:plastic,A cylindrical blue plastic bucket.,train,TEAM12_Bathroom_Bucket_001
Team12_DL_Milestone1_Drive/Project/Data/images/bathroom/bucket/Bathroom_Bucket_002.jpg,bathroom_bucket,shape:cylindrical;colour:blue;material:plastic,A cylindrical blue plastic bucket.,train,TEAM12_Bathroom_Bucket_002
Team12_DL_Milestone1_Drive/Project/Data/images/bathroom/bucket/Bathroom_Bucket_003.jpg,bathroom_bucket,shape:cylindrical;colour:white;material:plastic,A cylindrical white plastic bucket.,train,TEAM12_Bathroom_Bucket_003
Team12_DL_Milestone1_Drive/Project/Data/images/bathroom/bucket/Bathroom_Bucket_004.jpg,bathroom_bucket,shape:cylindrical;colour:white;material:plastic,A cylindrical white plastic bucket.,train,TEAM12_Bathroom_Bucket_004
Team12_DL_Milestone1_Drive/Project/Data/images/bathroom/bucket/Bathroom_Bucket_005.jpg,bathroom_bucket,shape:cylindrical;colour:white;material:plastic,A cylindrical white plastic bucket.,train,TEAM12_Bathroom_Bucket_005
Team12_DL_Milestone1_Drive/Project/Data/images/bathroom/bucket/Bathroom_Bucket_006.jpg,bathroom_bucket,shape:cylindrical;colour:blue;material:plastic,A cylindrical blue plastic bucket.,train,TEAM12_Bathroom_Bucket_006
Team12_DL_Milestone1_Drive/Project/Data/images/bathroom/bucket/Bathroom_Bucket_007.jpg,bathroom_bucket,shape:cylindrical;colour:blue;material:plastic,A cylindrical blue plastic bucket.,train,TEAM12_Bathroom_Bucket_007
Team12_DL_Milestone1_Drive/Project/Data/images/bathroom/bucket/Bathroom_Bucket_008.jpg,bathroom_bucket,shape:cylindrical;colour:blue;material:plastic,A cylindrical blue plastic bucket.,train,TEAM12_Bathroom_Bucket_008
Team12_DL_Milestone1_Drive/Project/Data/images/bathroom/bucket/Bathroom_Bucket_009.jpg,bathroom_bucket,shape:cylindrical;colour:multi-colored;material:plastic,A cylindrical multi-colored plastic bucket.,train,TEAM12_Bathroom_Bucket_009
Team12_DL_Milestone1_Drive/Project/Data/images/bathroom/bucket/Bathroom_Bucket_010.jpg,bathroom_bucket,shape:cylindrical;colour:green;material:plastic,A cylindrical green plastic bucket.,train,TEAM12_Bathroom_Bucket_010
